index,name,weight,label
308,HERBAL HAIR OIL,200ML,
309,VITAMIN E OIL,100ML,
310,NATURAL HERBAL OIL,100ML,
311,BLACK PANTHER OIL,100ML,
312,ONION SHAMPOO,200ML,
313,CHARCOAL SHAMPOO,200ML,
314,ALMOND OIL,200ML,
315,HERBAL HAIR OIL,100ML,
316,OLIVE OIL,100ML,
317,HAIR OIL,100ML,AO
318,HIBISCUS HAIR OIL,200ML,
319,VETTIVER HAIR OIL,200ML,
320,VITAMIN C OIL,100ML,
321,ONION OIL,100ML,
322,FRENCH BLEND COFFEE,,
323,HIGH VOLTAGE COFFEE,,
324,PEA BERRY 80% COFFEE,,
325,MYSORE NUGGETS COFFEE,,
326,BROWN GOLD COFFEE,,
327,ITALIAN ESPRESSO ROAST COFFEE,,
328,GOLD RIBBON COFFEE,,COFFEE 65%CHICORY 35%
329,AROMA GOLD,,COFFEE 70% CHICORY 30%
330,MONKEY PARCHMENT COFFEE,,COFFEE 80% CHICORY 20%
331,WILD COFFEE,,COFFEE 80% CHICORY 20%
332,E2H COFFEE,,COFFEE 80%
333,PREMIUM ASSAM TEA,,
334,JAMUN POWDER,,NAVAL VIDHAI
335,BLACK NIGHTSHADE POWDER,,MANATHAKKALI
336,BAEL LEAF POWDER,,VILVA
337,CALAMUS / SWEET FLAG POWDER,,VASAMBU
338,FALSE DAISY POWDER,,KARISALANKANNI
339,BALLOON VINE POWDER,,MUDAKATHAN
340,LOTUS POWDER,,THAMARAI
341,ANDROGRAPHIS POWDER,,NILAVEMBU
342,BERMUDA GRASS POWDER,,ARUGAMPUL
343,THULASI LEAF POWDER,,
344,COUNTRY GOOSEBERRY POWDER,,KEELANELLI
345,ASWAGANDHA POWDER,,
346,CASSIA AURICULATA POWDER,,AVARAM POO
347,TRIBULUS TERRESTRIS POWDER,,SIRUNERUNJIL
348,TRIKADUKU POWDER,,
349,TERMINALIA CHEBULA POWDER,,KADUKKAI
350,VETTI VER,,
351,VELDT GRAPE THOKKU,200GM,PIRANDAI
352,MANGO PICKLE,200GM,
353,CITRON PICKLE,200GM,NAARTHANGAI
354,COUNTRY SUGAR,500GM,
355,COCONUT SUGAR,250GM,
356,COUNTRY SUGAR,,
357,SOYACHUNKS,,MEAL MAKER
358,FENU GREEK,,VENTHAYAM
359,HIMALAYAN SALT CRYSTAL,500GM,
360,SUGARCANE JAGGERY,,KATTI VELLAM
361,PALM SUGAR,250 G,
362,AJWAIN,50GM,OMAM
363,WHITE SESAME,100GM,VELLAI ELLU
364,SAGO,250GM,JAVARISI
365,AGAR AGAR,,KADAL PAASI
366,PANAKALKANDU,100GM,
367,ACHU VELLAM,500GM,
368,CUMIN SEEDS,,SEERAGAM
369,DISHWASH POWDER,,
370,KITCHEN CLEANER,500ML,
371,NATURAL LAUNDRY DETERGENT,500ML,
372,NATURE SPRAY LAVENDER,250ML,
373,NATURE SPRAY LEMON,250ML,
374,NATURE SPRAY WHITE LILY,250ML,
375,TOILET CLEANER,500ML,
376,BATHROOM CLEANER,500ML,
377,GLASS CLEANER SPRAY,500ML,
378,HERBAL COCKROACH REPELLANT,100ML,
379,HERBAL COCKROACH REPELLANT OIL GEL,,
380,AYURVEDIC COCKROACH REPELANT,200ML,
381,HERBAL HOUSEFLY REPELLANT,100ML,
382,HERBAL MOSQUITO REPELLANT BODY SPRAY,100ML,
383,HERBAL MOSQUITO REPELLANT ROOM SPRAY,100ML,
384,NATURE SPRAY SANDAL,250ML,
385,NATURE SPRAY ROSE,250ML,
386,ONION VADAGAM,100GM,VENGAYAM
387,CARROT VADAGAM,100GM,
388,AJWAIN VADAGAM,100GM,OMAM
389,KASURI METHI VADAGAM,100GM,VENDIYA KEERAI
390,RAGI VADAGAM,100GM,
391,GARLIC VADAGAM,100GM,POONDU
392,POTATO VADAGAM,100GM,URULAIKILANGU
393,CUMIN SEEDS  VADAGAM,100GM,SEERAGAM
394,CHILLI GARLIC VADAGAM,100GM,
395,MINT LEAVES VADAGAM,100GM,PUDINA
396,BEETROOT VADAGAM,100GM,
397,GREEN CHILLI VADAGAM,100GM,PACHAI MILAGAI
398,TOMATO VADAGAM,100GM,THAKKALI
399,CORN VADAGAM,100GM,MAKKA SOLAM
400,TURKEY BERRY VATHAL,,SUNDAKKAI
401,GUNDU MORE MILAGAI VATHAL,,
402,KUDAMPULI,,
403,BLACK PEPPER,200GM,KARUMILAGU
404,BLACK CUMIN,100GM,KARUNJEERAGAM
405,BLACK PEPPER,100GM,KARUMILAGU
406,WHITE PEPPER,100GM,VELLAI MILAGU
407,MUSTARD,100GM,KADUGU
408,MUSTARD,200GM,KADUGU
409,MUSTARD,150GM,KADUGU
410,BIRIYANI ILAI,,
411,CINNAMON,20GM,PATTAI
412,CLOVES,50GM,KIRAMBU
413,FENEL SEEDS,50GM,SOMBU
414,FENEL SEEDS,100GM,SOMBU
415,KADUKAI,50GM,
416,FENEL SEEDS,25GM,SOMBU
417,CORIANDER,250GM,NATTU MALLI
418,TEJA RED CHILLI,200GM,TEJA MILAGAI
419,GUNDU MILAGAI,200GM,
420,GUNDU MILAGAI,100GM,
421,NUTMEG,50GM,JAATHIKAAI
422,VIRALI MANJAL,,
423,POPPY SEED,20GM,KASA KASA
424,CARDAMOM,25GM,YELAKKAI
425,WHITE URAD DAL,500GM,VELLAI MOTTU ULUNDHU
426,WHITE URAD DAL,,VELLAI MOTTU ULUNDHU
427,TOOR DAL,500GM,THUVARAM PARUPPU
428,SOILED TOOR DAL,500GM,MANKATTIYA THUVARAM PARUPPU
429,PAASI PAYIRU,500GM,RAINFALL YIELD
430,MYSORE DAL,250GM,
431,BLACK URAD DAL,500GM,BROKEN
432,BLACK URAD DAL,500GM,KARUPPU ULUNDHU
433,MYSORE DAL,500GM,
434,GREEN GRAM,500GM,PAASI PAYIRU
435,MOONG DHAL,500GM,SPLIT
436,CHANNA DHAL,500GM,KADALAI PARUPPU
437,BENGAL GRAM FULL,500GM,MULU POTTU KADALAI
438,BENGAL GRAM FULL,250GM,MULU POTTU KADALAI
439,BENGAL GRAM,250GM,SPLIT
440,BENGAL GRAM,500GM,SPLIT
441,BELLAR DHAL,250GM,AVARAI PARUPPU
442,DOUBLE CURRY BEANS,250GM,IRETTAI AVARAI
443,RANGOON BEANS,250GM,MOCHAI
444,RED RAJMA,250GM,SIVAPPU
445,BUTTER BEANS SEEDS,250GM,VARI MOCHAI
446,BLACK EYED  PEAS,250GM,THATTA PAYIR
447,GREEN PEAS,250GM,PACHA PATTANI
448,WHITE PEAS,250GM,VELLA PATTANI
449,DOT BEANS,250GM,PULLI PATTANI
450,SOYA BEANS,250GM,
451,YELLOW SORGHUM,500GM,MANJAL CHOLAM
452,RED SORGHUM,500GM,SIVAPU CHOLAM
453,NILAKADALAI,250GM,GROUNDNUT
454,WHITE SORGHUM,500GM,VELLAI CHOLAM
455,HORSE GRAM,250GM,KOLLU
456,WHITE CHANNA,500GM,VELLAI SUNDAL
457,WHITE CHANNA,250GM,VELLAI SUNDAL
458,BLACK HORSE GRAM,250GM,KARUPU KOLLU
459,BLACK CHANNA,250GM,KARUPU SUNDAL
460,BLACK CHANNA,500GM,KARUPU SUNDAL
461,FOXTAIL,500GM,THINAI
462,LITTLE MILLET,500GM,SAAMAI
463,BARNYARD MILLET,500GM,KUTHURA VALI
464,LITTLE MILLET,500GM,KULA SAAMAI
465,RAGI,500GM,KELVARAGU
466,RAGI,,KELVARAGU
467,BARNYARD MILLET,,KUTHURAIVALI
468,KARUPU KAVUNI KURANAI,250GM,
469,LITTLE MILLET,500GM,SAAMAI
470,SAMBA KOTHUMAI,500GM,
471,CORN,250GM,MAKKA CHOLAM KURUNAI
472,CORN,500GM,MAKKA CHOLLAM
473,WHEAT,,KOTHUMAI
474,FOXTAIL,500GM,THINAI
475,WILD PEARL MILLET,500GM,KAATU KAMBU
476,PROSO KODO,500GM,PANI VARAGU
477,KODO MILLET,500GM,VARAGU
478,PEARL MILLET,500GM,GUNDU KAMBU
479,PEARL MILLET,500GM,KAMBU
480,BARLEY RICE,500GM,VAAL KOTHUMAI
481,CORN FLOUR,250GM,CHOLA MAAVU
482,CORN FLOUR,500GM,CHOLA MAAVU
483,BAJI & BONDA MIX,500GM,
484,BAJI & BONDA MIX,250GM,
485,WHEAT FLOUR,500GM,KOTHUMAI MAAVU
486,SPROUTED WHEAT  FLOUR,500GM,MULAIKATTIYA KOTHUMAI MAAVU
487,SPROUTED WHEAT FLOUR,,MULAIKATTIYA KOTHUMAI MAAVU
488,BLACK URAD DHAL PORRIDGE MIX,250GM,KARUPU ULUNDHU KANJI
489,GREEN GRAM FLOUR,250GM,PAASI PAYIRU MAAVU
490,RICE FLOUR,500GM,ARISI MAAVU
491,RICE FLOUR,250GM,ARISI MAAVU
492,MILLET DOSA MIX,500GM,SIRUTHAANIYA
493,SPROUTED CORN FLOUR,250GM,MULAIKATTIYA CHOLAM MAAVU
